,Test,Prediction
101,Iris-virginica,Iris-virginica
95,Iris-versicolor,Iris-versicolor
56,Iris-versicolor,Iris-versicolor
105,Iris-virginica,Iris-virginica
100,Iris-virginica,Iris-virginica
77,Iris-versicolor,Iris-virginica
91,Iris-versicolor,Iris-versicolor
55,Iris-versicolor,Iris-versicolor
46,Iris-setosa,Iris-setosa
61,Iris-versicolor,Iris-versicolor
5,Iris-setosa,Iris-setosa
16,Iris-setosa,Iris-setosa
93,Iris-versicolor,Iris-versicolor
14,Iris-setosa,Iris-setosa
60,Iris-versicolor,Iris-versicolor
33,Iris-setosa,Iris-setosa
75,Iris-versicolor,Iris-versicolor
29,Iris-setosa,Iris-setosa
68,Iris-versicolor,Iris-versicolor
36,Iris-setosa,Iris-setosa
119,Iris-virginica,Iris-virginica
86,Iris-versicolor,Iris-versicolor
31,Iris-setosa,Iris-setosa
130,Iris-virginica,Iris-virginica
111,Iris-virginica,Iris-virginica
19,Iris-setosa,Iris-setosa
53,Iris-versicolor,Iris-versicolor
50,Iris-versicolor,Iris-versicolor
122,Iris-virginica,Iris-virginica
144,Iris-virginica,Iris-virginica
